exchange_date,EUR,USD,GBP
2025-01-20,1.0,1.1302,0.8937
2025-01-21,1.0,1.0651,0.8509
2025-01-22,1.0,1.1201,0.8276
2025-01-23,1.0,1.0749,0.9294
2025-01-24,1.0,1.1794,0.8596
2025-01-25,1.0,1.1646,0.949
2025-01-26,1.0,1.11,0.9432
2025-01-27,1.0,1.1553,0.8278
2025-01-28,1.0,1.0667,0.8596
2025-01-29,1.0,1.1902,0.8344
2025-01-30,1.0,1.1297,0.8426
2025-01-31,1.0,1.0845,0.939
2025-02-01,1.0,1.1269,0.9335
2025-02-02,1.0,1.0708,0.9152
2025-02-03,1.0,1.1897,0.8215
2025-02-04,1.0,1.0642,0.93
2025-02-05,1.0,1.1654,0.9313
2025-02-06,1.0,1.1275,0.8828
2025-02-07,1.0,1.1661,0.8912
2025-02-08,1.0,1.0909,0.8551
2025-02-09,1.0,1.1855,0.832
2025-02-10,1.0,1.0849,0.8455
2025-02-11,1.0,1.0535,0.8394
2025-02-12,1.0,1.1117,0.8752
2025-02-13,1.0,1.13,0.872
2025-02-14,1.0,1.1787,0.9464
2025-02-15,1.0,1.1582,0.93
2025-02-16,1.0,1.089,0.857
2025-02-17,1.0,1.1422,0.9407
2025-02-18,1.0,1.0526,0.863
2025-02-19,1.0,1.0982,0.8736
2025-02-20,1.0,1.1406,0.9289
2025-02-21,1.0,1.1388,0.8498
2025-02-22,1.0,1.1768,0.8786
2025-02-23,1.0,1.0927,0.9379
2025-02-24,1.0,1.0865,0.914
2025-02-25,1.0,1.1333,0.9196
2025-02-26,1.0,1.1254,0.9385
2025-02-27,1.0,1.1033,0.8737
2025-02-28,1.0,1.1131,0.8301
2025-03-01,1.0,1.1038,0.8399
2025-03-02,1.0,1.1452,0.8602
2025-03-03,1.0,1.0515,0.9485
2025-03-04,1.0,1.0878,0.9437
2025-03-05,1.0,1.1173,0.8734
2025-03-06,1.0,1.1875,0.8817
2025-03-07,1.0,1.0809,0.8423
2025-03-08,1.0,1.068,0.9118
2025-03-09,1.0,1.1831,0.8967
2025-03-10,1.0,1.1702,0.9062
2025-03-11,1.0,1.0973,0.9314
2025-03-12,1.0,1.0825,0.8215
2025-03-13,1.0,1.1863,0.8556
2025-03-14,1.0,1.0822,0.9093
2025-03-15,1.0,1.0899,0.9114
2025-03-16,1.0,1.1014,0.872
2025-03-17,1.0,1.1656,0.8721
2025-03-18,1.0,1.1762,0.9089
2025-03-19,1.0,1.1724,0.8854
2025-03-20,1.0,1.1569,0.8746
2025-03-21,1.0,1.1418,0.9131
2025-03-22,1.0,1.1794,0.83
2025-03-23,1.0,1.0866,0.9373
2025-03-24,1.0,1.1207,0.9315
2025-03-25,1.0,1.1592,0.9249
2025-03-26,1.0,1.1557,0.9257
2025-03-27,1.0,1.1728,0.9411
2025-03-28,1.0,1.0832,0.8406
2025-03-29,1.0,1.1883,0.8537
2025-03-30,1.0,1.1172,0.9333
2025-03-31,1.0,1.1945,0.8606
2025-04-01,1.0,1.1206,0.8735
2025-04-02,1.0,1.1612,0.8593
2025-04-03,1.0,1.1976,0.9404
2025-04-04,1.0,1.0698,0.9029
2025-04-05,1.0,1.0915,0.9144
2025-04-06,1.0,1.1574,0.8349
2025-04-07,1.0,1.1158,0.9231
2025-04-08,1.0,1.0892,0.928
2025-04-09,1.0,1.1305,0.8308
2025-04-10,1.0,1.1733,0.9336
2025-04-11,1.0,1.1881,0.8503
2025-04-12,1.0,1.0845,0.9031
2025-04-13,1.0,1.1077,0.862
2025-04-14,1.0,1.1323,0.9307
2025-04-15,1.0,1.1314,0.8793
2025-04-16,1.0,1.1408,0.9466
2025-04-17,1.0,1.0945,0.8737
2025-04-18,1.0,1.1939,0.9397
2025-04-19,1.0,1.1482,0.884
2025-04-20,1.0,1.1045,0.9363
2025-04-21,1.0,1.059,0.8309
2025-04-22,1.0,1.0644,0.8607
2025-04-23,1.0,1.1677,0.871
2025-04-24,1.0,1.193,0.9139
2025-04-25,1.0,1.1188,0.8918
2025-04-26,1.0,1.1439,0.8864
2025-04-27,1.0,1.115,0.8784
2025-04-28,1.0,1.1794,0.911
2025-04-29,1.0,1.1247,0.8625
2025-04-30,1.0,1.1428,0.9122
2025-05-01,1.0,1.1424,0.863
2025-05-02,1.0,1.0627,0.9019
2025-05-03,1.0,1.1941,0.8426
2025-05-04,1.0,1.1299,0.8694
2025-05-05,1.0,1.1917,0.8704
2025-05-06,1.0,1.1443,0.9031
2025-05-07,1.0,1.0725,0.894
2025-05-08,1.0,1.1306,0.8897
2025-05-09,1.0,1.187,0.8925
2025-05-10,1.0,1.0659,0.8916
2025-05-11,1.0,1.1697,0.8839
2025-05-12,1.0,1.1385,0.938
2025-05-13,1.0,1.1948,0.9436
2025-05-14,1.0,1.1474,0.9015
2025-05-15,1.0,1.0568,0.9315
2025-05-16,1.0,1.145,0.924
2025-05-17,1.0,1.1354,0.8376
2025-05-18,1.0,1.1237,0.9158
2025-05-19,1.0,1.13,0.8754
2025-05-20,1.0,1.0707,0.9217
2025-05-21,1.0,1.1942,0.8813
2025-05-22,1.0,1.0759,0.9248
2025-05-23,1.0,1.1479,0.8884
2025-05-24,1.0,1.1251,0.9073
2025-05-25,1.0,1.1356,0.9479
2025-05-26,1.0,1.0751,0.8802
2025-05-27,1.0,1.1821,0.8796
2025-05-28,1.0,1.0557,0.9383
2025-05-29,1.0,1.1662,0.8266
2025-05-30,1.0,1.1307,0.942
2025-05-31,1.0,1.101,0.8908
2025-06-01,1.0,1.0641,0.8751
2025-06-02,1.0,1.1505,0.9361
2025-06-03,1.0,1.086,0.9131
2025-06-04,1.0,1.1381,0.8752
2025-06-05,1.0,1.1496,0.8832
2025-06-06,1.0,1.1075,0.831
2025-06-07,1.0,1.1773,0.9404
2025-06-08,1.0,1.0688,0.9144
2025-06-09,1.0,1.1623,0.8549
2025-06-10,1.0,1.0581,0.9455
2025-06-11,1.0,1.1676,0.903
2025-06-12,1.0,1.1979,0.8905
2025-06-13,1.0,1.0638,0.9149
2025-06-14,1.0,1.1058,0.8301
2025-06-15,1.0,1.0802,0.9126
2025-06-16,1.0,1.0967,0.8206
2025-06-17,1.0,1.1723,0.9125
2025-06-18,1.0,1.1785,0.9265
2025-06-19,1.0,1.099,0.8833
2025-06-20,1.0,1.1923,0.8591
2025-06-21,1.0,1.1654,0.9195
2025-06-22,1.0,1.1666,0.8287
2025-06-23,1.0,1.1156,0.8942
2025-06-24,1.0,1.1297,0.8601
2025-06-25,1.0,1.1299,0.8839
2025-06-26,1.0,1.1011,0.8744
2025-06-27,1.0,1.0761,0.8687
2025-06-28,1.0,1.0945,0.8777
2025-06-29,1.0,1.1736,0.8763
2025-06-30,1.0,1.0661,0.9126
2025-07-01,1.0,1.1359,0.9065
2025-07-02,1.0,1.0958,0.869
2025-07-03,1.0,1.1987,0.9105
2025-07-04,1.0,1.0682,0.8649
2025-07-05,1.0,1.1994,0.8782
2025-07-06,1.0,1.1167,0.8508
2025-07-07,1.0,1.0758,0.8872
2025-07-08,1.0,1.0846,0.8698
2025-07-09,1.0,1.0592,0.9305
2025-07-10,1.0,1.0689,0.8859
2025-07-11,1.0,1.0609,0.8668
2025-07-12,1.0,1.1041,0.9107
2025-07-13,1.0,1.093,0.8679
2025-07-14,1.0,1.0505,0.8462
2025-07-15,1.0,1.1206,0.8919
2025-07-16,1.0,1.103,0.9252
2025-07-17,1.0,1.185,0.9088
2025-07-18,1.0,1.1491,0.9303
2025-07-19,1.0,1.1073,0.8256
2025-07-20,1.0,1.1523,0.8621
2025-07-21,1.0,1.0806,0.9099
2025-07-22,1.0,1.0624,0.912
2025-07-23,1.0,1.1608,0.8212
2025-07-24,1.0,1.1625,0.9395
2025-07-25,1.0,1.0696,0.9344
2025-07-26,1.0,1.0785,0.8357
2025-07-27,1.0,1.1719,0.8864
2025-07-28,1.0,1.0626,0.8837
2025-07-29,1.0,1.0502,0.8576
2025-07-30,1.0,1.1918,0.8307
2025-07-31,1.0,1.1038,0.8323
2025-08-01,1.0,1.1245,0.8464
2025-08-02,1.0,1.1637,0.8548
2025-08-03,1.0,1.0752,0.8815
2025-08-04,1.0,1.0553,0.8741
2025-08-05,1.0,1.0593,0.9294
2025-08-06,1.0,1.0629,0.8578
2025-08-07,1.0,1.0968,0.9144
2025-08-08,1.0,1.1735,0.8502
2025-08-09,1.0,1.1457,0.9359
2025-08-10,1.0,1.1399,0.8687
2025-08-11,1.0,1.1666,0.8815
2025-08-12,1.0,1.198,0.8781
2025-08-13,1.0,1.112,0.88
2025-08-14,1.0,1.0692,0.9193
2025-08-15,1.0,1.1835,0.9445
2025-08-16,1.0,1.0784,0.9411
2025-08-17,1.0,1.1363,0.8446
2025-08-18,1.0,1.1562,0.8471
2025-08-19,1.0,1.1391,0.8402
2025-08-20,1.0,1.171,0.8363
2025-08-21,1.0,1.1549,0.8963
2025-08-22,1.0,1.0558,0.8944
2025-08-23,1.0,1.0836,0.844
2025-08-24,1.0,1.1372,0.8699
2025-08-25,1.0,1.1912,0.8766
2025-08-26,1.0,1.1065,0.9445
2025-08-27,1.0,1.1511,0.8725
2025-08-28,1.0,1.0635,0.9279
2025-08-29,1.0,1.1422,0.8937
2025-08-30,1.0,1.1934,0.9407
2025-08-31,1.0,1.0591,0.9021
2025-09-01,1.0,1.1308,0.8673
2025-09-02,1.0,1.0719,0.8839
2025-09-03,1.0,1.1875,0.8957
2025-09-04,1.0,1.1786,0.9054
2025-09-05,1.0,1.0551,0.8283
2025-09-06,1.0,1.0502,0.9474
2025-09-07,1.0,1.191,0.9359
2025-09-08,1.0,1.0891,0.9123
2025-09-09,1.0,1.0914,0.939
2025-09-10,1.0,1.1344,0.9171
2025-09-11,1.0,1.1104,0.8924
2025-09-12,1.0,1.1811,0.9406
2025-09-13,1.0,1.1247,0.8204
2025-09-14,1.0,1.0696,0.9253
2025-09-15,1.0,1.0894,0.8753
2025-09-16,1.0,1.1656,0.9456
2025-09-17,1.0,1.1116,0.8204
2025-09-18,1.0,1.1811,0.8977
2025-09-19,1.0,1.0964,0.8335
2025-09-20,1.0,1.1193,0.9099
2025-09-21,1.0,1.1335,0.8211
2025-09-22,1.0,1.1673,0.9345
2025-09-23,1.0,1.0949,0.8756
2025-09-24,1.0,1.1542,0.8994
2025-09-25,1.0,1.196,0.8662
2025-09-26,1.0,1.104,0.9014
2025-09-27,1.0,1.0633,0.8642
2025-09-28,1.0,1.115,0.8702
2025-09-29,1.0,1.132,0.9407
2025-09-30,1.0,1.1208,0.8455
2025-10-01,1.0,1.1083,0.8535
2025-10-02,1.0,1.1135,0.8645
2025-10-03,1.0,1.0945,0.9003
2025-10-04,1.0,1.1455,0.851
2025-10-05,1.0,1.0784,0.8361
2025-10-06,1.0,1.1996,0.8775
2025-10-07,1.0,1.0958,0.9395
2025-10-08,1.0,1.1934,0.896
2025-10-09,1.0,1.1108,0.8543
2025-10-10,1.0,1.1912,0.9202
2025-10-11,1.0,1.1456,0.9194
2025-10-12,1.0,1.137,0.9495
2025-10-13,1.0,1.1585,0.8421
2025-10-14,1.0,1.0844,0.9351
2025-10-15,1.0,1.0601,0.8734
2025-10-16,1.0,1.1065,0.9385
2025-10-17,1.0,1.1239,0.8364
2025-10-18,1.0,1.1421,0.8412
2025-10-19,1.0,1.1574,0.8596
2025-10-20,1.0,1.105,0.9186
2025-10-21,1.0,1.0606,0.9497
2025-10-22,1.0,1.1582,0.8286
2025-10-23,1.0,1.1043,0.8452
2025-10-24,1.0,1.1225,0.8613
2025-10-25,1.0,1.127,0.9331
2025-10-26,1.0,1.1913,0.9453
2025-10-27,1.0,1.1397,0.8869
2025-10-28,1.0,1.1443,0.932
2025-10-29,1.0,1.199,0.8915
2025-10-30,1.0,1.0553,0.8579
2025-10-31,1.0,1.1829,0.9476
2025-11-01,1.0,1.1503,0.8696
2025-11-02,1.0,1.1678,0.8594
2025-11-03,1.0,1.1465,0.8281
2025-11-04,1.0,1.1859,0.8784
2025-11-05,1.0,1.137,0.9487
2025-11-06,1.0,1.1463,0.865
2025-11-07,1.0,1.1828,0.9249
2025-11-08,1.0,1.1368,0.9049
2025-11-09,1.0,1.0775,0.8458
2025-11-10,1.0,1.1507,0.8662
2025-11-11,1.0,1.0661,0.8437
2025-11-12,1.0,1.0518,0.9105
2025-11-13,1.0,1.1351,0.9432
2025-11-14,1.0,1.1315,0.8346
2025-11-15,1.0,1.1193,0.9103
2025-11-16,1.0,1.1983,0.9234
2025-11-17,1.0,1.1866,0.9365
2025-11-18,1.0,1.1417,0.8539
2025-11-19,1.0,1.1782,0.843
2025-11-20,1.0,1.1539,0.8821
2025-11-21,1.0,1.0925,0.9265
2025-11-22,1.0,1.1085,0.9068
2025-11-23,1.0,1.1769,0.9088
2025-11-24,1.0,1.1578,0.8785
2025-11-25,1.0,1.1367,0.9016
2025-11-26,1.0,1.0806,0.9433
2025-11-27,1.0,1.083,0.8613
2025-11-28,1.0,1.1111,0.842
2025-11-29,1.0,1.1021,0.8311
2025-11-30,1.0,1.1755,0.8997
2025-12-01,1.0,1.0906,0.9126
2025-12-02,1.0,1.0765,0.8411
2025-12-03,1.0,1.1158,0.8811
2025-12-04,1.0,1.1243,0.9419
2025-12-05,1.0,1.1724,0.873
2025-12-06,1.0,1.1026,0.8925
2025-12-07,1.0,1.145,0.8436
2025-12-08,1.0,1.1509,0.8253
2025-12-09,1.0,1.1426,0.9162
2025-12-10,1.0,1.1367,0.886
2025-12-11,1.0,1.1213,0.8869
2025-12-12,1.0,1.0968,0.8864
2025-12-13,1.0,1.172,0.8735
2025-12-14,1.0,1.1884,0.8568
2025-12-15,1.0,1.1246,0.9202
2025-12-16,1.0,1.1104,0.9267
2025-12-17,1.0,1.0997,0.9398
2025-12-18,1.0,1.0531,0.864
2025-12-19,1.0,1.11,0.8729
2025-12-20,1.0,1.0538,0.8748
2025-12-21,1.0,1.1536,0.8794
2025-12-22,1.0,1.0519,0.8438
2025-12-23,1.0,1.1225,0.8303
2025-12-24,1.0,1.0882,0.8709
2025-12-25,1.0,1.169,0.8752
2025-12-26,1.0,1.172,0.88
2025-12-27,1.0,1.1863,0.9209
2025-12-28,1.0,1.1921,0.8308
2025-12-29,1.0,1.0766,0.8241
2025-12-30,1.0,1.0863,0.8934
2025-12-31,1.0,1.0647,0.9358
2026-01-01,1.0,1.1471,0.8578
2026-01-02,1.0,1.0933,0.886
2026-01-03,1.0,1.0686,0.912
2026-01-04,1.0,1.1532,0.9498
2026-01-05,1.0,1.1306,0.8876
2026-01-06,1.0,1.0781,0.8731
2026-01-07,1.0,1.0749,0.917
2026-01-08,1.0,1.1333,0.9236
2026-01-09,1.0,1.1625,0.8724
2026-01-10,1.0,1.0787,0.874
2026-01-11,1.0,1.1843,0.8687
2026-01-12,1.0,1.1258,0.9313
2026-01-13,1.0,1.1637,0.9234
2026-01-14,1.0,1.1354,0.8754
2026-01-15,1.0,1.1591,0.8959
2026-01-16,1.0,1.1135,0.9422
2026-01-17,1.0,1.0666,0.8693
2026-01-18,1.0,1.1948,0.8897
2026-01-19,1.0,1.156,0.8432
2026-01-20,1.0,1.1581,0.8617
2026-01-21,1.0,1.1382,0.9489
2026-01-22,1.0,1.1939,0.872
2026-01-23,1.0,1.1706,0.9172
2026-01-24,1.0,1.0693,0.9273
2026-01-25,1.0,1.0786,0.9072
2026-01-26,1.0,1.1093,0.8341
2026-01-27,1.0,1.1314,0.8205
2026-01-28,1.0,1.1493,0.8906
2026-01-29,1.0,1.1801,0.866
2026-01-30,1.0,1.1934,0.8386
2026-01-31,1.0,1.1743,0.9101
2026-02-01,1.0,1.1091,0.9074
2026-02-02,1.0,1.1226,0.8687
2026-02-03,1.0,1.1535,0.888
2026-02-04,1.0,1.0704,0.9411
2026-02-05,1.0,1.0658,0.8716
2026-02-06,1.0,1.1283,0.9411
2026-02-07,1.0,1.1055,0.8379
2026-02-08,1.0,1.1639,0.9334
2026-02-09,1.0,1.1876,0.8605
2026-02-10,1.0,1.1625,0.855
2026-02-11,1.0,1.1222,0.8833
2026-02-12,1.0,1.0732,0.9263
2026-02-13,1.0,1.0901,0.8579
2026-02-14,1.0,1.1049,0.9347
2026-02-15,1.0,1.1839,0.862
2026-02-16,1.0,1.1194,0.8325
2026-02-17,1.0,1.1622,0.8493
2026-02-18,1.0,1.0532,0.8644
2026-02-19,1.0,1.1327,0.859
2026-02-20,1.0,1.18,0.8963
2026-02-21,1.0,1.0628,0.9168
2026-02-22,1.0,1.0782,0.856
2026-02-23,1.0,1.12,0.9381
2026-02-24,1.0,1.0645,0.909
2026-02-25,1.0,1.0985,0.8421
2026-02-26,1.0,1.0853,0.9455
2026-02-27,1.0,1.1804,0.922
2026-02-28,1.0,1.147,0.9467
2026-03-01,1.0,1.1333,0.9208
2026-03-02,1.0,1.1424,0.838
2026-03-03,1.0,1.0956,0.9341
2026-03-04,1.0,1.1748,0.9137
2026-03-05,1.0,1.1999,0.9147
2026-03-06,1.0,1.1164,0.8207
2026-03-07,1.0,1.1476,0.8275
2026-03-08,1.0,1.1146,0.9152
2026-03-09,1.0,1.1128,0.8455
2026-03-10,1.0,1.077,0.8424
2026-03-11,1.0,1.1539,0.8814
2026-03-12,1.0,1.1214,0.929
2026-03-13,1.0,1.1918,0.8293
2026-03-14,1.0,1.1403,0.9105
2026-03-15,1.0,1.0722,0.8819
2026-03-16,1.0,1.1103,0.8554
2026-03-17,1.0,1.1027,0.8397
2026-03-18,1.0,1.1706,0.8709
2026-03-19,1.0,1.0624,0.9056
2026-03-20,1.0,1.1321,0.9211
2026-03-21,1.0,1.1214,0.8917
2026-03-22,1.0,1.1233,0.8677
2026-03-23,1.0,1.0506,0.8322
2026-03-24,1.0,1.1304,0.9039
2026-03-25,1.0,1.0872,0.837
2026-03-26,1.0,1.0947,0.8778
2026-03-27,1.0,1.1009,0.8386
2026-03-28,1.0,1.0999,0.924
2026-03-29,1.0,1.1477,0.8417
2026-03-30,1.0,1.1287,0.9481
2026-03-31,1.0,1.1453,0.9213
2026-04-01,1.0,1.1588,0.8814
2026-04-02,1.0,1.127,0.8747
2026-04-03,1.0,1.1909,0.8499
2026-04-04,1.0,1.1836,0.8808
2026-04-05,1.0,1.0842,0.9377
2026-04-06,1.0,1.1562,0.918
2026-04-07,1.0,1.1885,0.9162
2026-04-08,1.0,1.1726,0.8691
2026-04-09,1.0,1.053,0.8933
2026-04-10,1.0,1.1192,0.8958
2026-04-11,1.0,1.0817,0.9273
2026-04-12,1.0,1.1603,0.8755
2026-04-13,1.0,1.1107,0.8238
2026-04-14,1.0,1.0862,0.9092
2026-04-15,1.0,1.1345,0.8494
2026-04-16,1.0,1.1483,0.8983
2026-04-17,1.0,1.0516,0.9409
2026-04-18,1.0,1.1289,0.9372
2026-04-19,1.0,1.1224,0.8765
2026-04-20,1.0,1.177,0.8234
2026-04-21,1.0,1.1593,0.8862
2026-04-22,1.0,1.0798,0.9007
2026-04-23,1.0,1.0851,0.8842
2026-04-24,1.0,1.1306,0.9062
2026-04-25,1.0,1.0557,0.9172
2026-04-26,1.0,1.0852,0.8977
2026-04-27,1.0,1.1189,0.9092
2026-04-28,1.0,1.1967,0.9184
2026-04-29,1.0,1.0604,0.8591
2026-04-30,1.0,1.1897,0.8825
2026-05-01,1.0,1.1556,0.8483
2026-05-02,1.0,1.094,0.8421
2026-05-03,1.0,1.0754,0.9262
2026-05-04,1.0,1.1063,0.895
2026-05-05,1.0,1.1504,0.9078
2026-05-06,1.0,1.0935,0.8205
2026-05-07,1.0,1.1829,0.8216
2026-05-08,1.0,1.1888,0.9477
2026-05-09,1.0,1.1832,0.9344
2026-05-10,1.0,1.1061,0.8376
2026-05-11,1.0,1.1883,0.9495
2026-05-12,1.0,1.065,0.8459
2026-05-13,1.0,1.161,0.832
2026-05-14,1.0,1.1676,0.9466
2026-05-15,1.0,1.0836,0.9395
2026-05-16,1.0,1.1679,0.9247
2026-05-17,1.0,1.1363,0.8703
2026-05-18,1.0,1.1187,0.859
2026-05-19,1.0,1.1401,0.8216
2026-05-20,1.0,1.1344,0.926
2026-05-21,1.0,1.177,0.842
2026-05-22,1.0,1.1791,0.9258
2026-05-23,1.0,1.172,0.8446
2026-05-24,1.0,1.199,0.8358
2026-05-25,1.0,1.1878,0.8827
2026-05-26,1.0,1.1061,0.8546
2026-05-27,1.0,1.1232,0.9335
2026-05-28,1.0,1.0762,0.8684
2026-05-29,1.0,1.181,0.8279
2026-05-30,1.0,1.1223,0.9152
2026-05-31,1.0,1.0983,0.8952
2026-06-01,1.0,1.1436,0.8434
2026-06-02,1.0,1.0989,0.8843
2026-06-03,1.0,1.1708,0.8405
